Phenotypes,SNP,,INDEL,,SV,,SNP_INDEL,,SNP_INDEL_SV,
,Linear,Graph,Linear,Graph,Linear,Graph,Linear,Graph,Linear,Graph
BGNP_YangZ15,0.799 ,0.815 ,0.824 ,0.841 ,0.837 ,0.858 ,0.823 ,0.841 ,0.824 ,0.841 
BGWP_YangZ15,0.603 ,0.608 ,0.625 ,0.627 ,0.664 ,0.671 ,0.622 ,0.622 ,0.658 ,0.663 
FGP_WenJ15,0.823 ,0.827 ,0.833 ,0.839 ,0.865 ,0.894 ,0.835 ,0.840 ,0.842 ,0.844 
FLL_BeiJ16,0.706 ,0.713 ,0.730 ,0.717 ,0.843 ,0.780 ,0.730 ,0.717 ,0.846 ,0.783 
FLW_BeiJ16,0.845 ,0.859 ,0.869 ,0.875 ,0.900 ,0.919 ,0.871 ,0.877 ,0.891 ,0.879 
GL_BLUP,0.974 ,0.781 ,0.806 ,0.736 ,0.885 ,0.765 ,0.780 ,0.720 ,0.715 ,0.803 
GL_BeiJ15,0.670 ,0.670 ,0.668 ,0.668 ,0.738 ,0.668 ,0.599 ,0.561 ,0.593 ,0.587 
GL_LingS16,0.938 ,0.943 ,0.945 ,0.945 ,0.977 ,0.896 ,0.945 ,0.944 ,0.945 ,0.944 
GL_WenJ15,0.840 ,0.855 ,0.869 ,0.868 ,0.912 ,0.885 ,0.868 ,0.869 ,0.889 ,0.869 
GL_YangZ15,0.918 ,0.934 ,0.931 ,0.947 ,0.946 ,0.991 ,0.931 ,0.946 ,0.931 ,0.946 
GSR_WenJ15,0.787 ,0.795 ,0.803 ,0.831 ,0.846 ,0.859 ,0.804 ,0.829 ,0.804 ,0.830 
GW_BLUP,0.909 ,0.911 ,0.914 ,0.911 ,0.949 ,0.972 ,0.914 ,0.911 ,0.934 ,0.965 
GW_BeiJ15,0.889 ,0.891 ,0.901 ,0.898 ,0.955 ,0.972 ,0.899 ,0.897 ,0.932 ,0.951 
GW_LingS16,0.849 ,0.847 ,0.858 ,0.849 ,0.918 ,0.923 ,0.857 ,0.847 ,0.893 ,0.920 
GW_WenJ15,0.871 ,0.875 ,0.876 ,0.879 ,0.908 ,0.944 ,0.872 ,0.876 ,0.892 ,0.936 
GW_YangZ15,0.616 ,0.622 ,0.654 ,0.663 ,0.718 ,0.712 ,0.648 ,0.658 ,0.683 ,0.699 
GYP_BLUP,0.721 ,0.731 ,0.745 ,0.750 ,0.773 ,0.792 ,0.742 ,0.744 ,0.770 ,0.771 
GYP_BeiJ15,0.727 ,0.744 ,0.774 ,0.798 ,0.764 ,0.816 ,0.773 ,0.797 ,0.776 ,0.798 
GYP_LingS15,0.603 ,0.606 ,0.633 ,0.632 ,0.693 ,0.685 ,0.633 ,0.626 ,0.679 ,0.679 
GYP_WenJ15,0.581 ,0.573 ,0.574 ,0.592 ,0.645 ,0.656 ,0.582 ,0.578 ,0.632 ,0.649 
GYP_YangZ15,0.416 ,0.415 ,0.440 ,0.430 ,0.536 ,0.552 ,0.491 ,0.455 ,0.556 ,0.609 
HD_BLUP,0.701 ,0.702 ,0.698 ,0.704 ,0.702 ,0.698 ,0.976 ,0.978 ,0.970 ,0.965 
HD_BeiJ15,0.687 ,0.689 ,0.685 ,0.691 ,0.689 ,0.685 ,0.988 ,0.957 ,0.974 ,0.963 
HD_LingS15,0.754 ,0.749 ,0.763 ,0.742 ,0.780 ,0.841 ,0.754 ,0.750 ,0.781 ,0.828 
HD_LingS16,0.766 ,0.763 ,0.780 ,0.751 ,0.806 ,0.785 ,0.780 ,0.764 ,0.809 ,0.784 
HD_WenJ15,0.696 ,0.696 ,0.693 ,0.697 ,0.701 ,0.694 ,0.968 ,0.970 ,0.967 ,0.977 
HD_YangZ15,0.713 ,0.713 ,0.709 ,0.716 ,0.710 ,0.704 ,0.966 ,0.970 ,0.962 ,0.991 
PH_BLUP,0.937 ,0.942 ,0.932 ,0.939 ,0.931 ,0.919 ,0.937 ,0.943 ,0.943 ,0.999 
PH_BeiJ15,0.887 ,0.887 ,0.886 ,0.885 ,0.883 ,0.970 ,0.887 ,0.887 ,0.891 ,0.970 
PH_LingS15,0.851 ,0.853 ,0.855 ,0.849 ,0.859 ,0.902 ,0.853 ,0.854 ,0.864 ,0.890 
PH_LingS16,0.923 ,0.921 ,0.917 ,0.895 ,0.915 ,0.985 ,0.923 ,0.921 ,0.927 ,0.973 
PH_WenJ15,0.863 ,0.872 ,0.859 ,0.871 ,0.899 ,0.952 ,0.863 ,0.872 ,0.890 ,0.927 
PH_YangZ15,0.871 ,0.874 ,0.872 ,0.870 ,0.889 ,0.952 ,0.872 ,0.874 ,0.890 ,0.951 
PL_LingS16,0.733 ,0.733 ,0.747 ,0.734 ,0.761 ,0.799 ,0.747 ,0.734 ,0.767 ,0.794 
PL_YangZ15,0.959 ,0.965 ,0.961 ,0.966 ,0.967 ,0.886 ,0.962 ,0.967 ,0.966 ,0.934 
PPNP_BLUP,0.708 ,0.722 ,0.724 ,0.730 ,0.759 ,0.780 ,0.725 ,0.730 ,0.764 ,0.775 
PPNP_LingS16,0.667 ,0.669 ,0.658 ,0.672 ,0.740 ,0.774 ,0.668 ,0.674 ,0.763 ,0.784 
PPNP_WenJ15,0.536 ,0.531 ,0.553 ,0.562 ,0.646 ,0.655 ,0.554 ,0.559 ,0.604 ,0.620 
PPNP_YangZ15,0.501 ,0.515 ,0.513 ,0.523 ,0.585 ,0.619 ,0.516 ,0.524 ,0.591 ,0.573 
PW_WenJ15,0.830 ,0.837 ,0.840 ,0.850 ,0.880 ,0.897 ,0.840 ,0.849 ,0.863 ,0.862 
SLNP_WenJ15,0.915 ,0.922 ,0.923 ,0.936 ,0.953 ,0.993 ,0.925 ,0.938 ,0.930 ,0.944 
SPAD_BeiJ16,0.616 ,0.625 ,0.622 ,0.572 ,0.693 ,0.696 ,0.617 ,0.625 ,0.693 ,0.465 
TGW_BLUP,0.928 ,0.930 ,0.931 ,0.924 ,0.928 ,0.985 ,0.931 ,0.930 ,0.932 ,0.959 
TGW_BeiJ15,0.716 ,0.711 ,0.724 ,0.724 ,0.731 ,0.805 ,0.716 ,0.711 ,0.735 ,0.800 
TGW_LingS16,0.898 ,0.896 ,0.898 ,0.898 ,0.908 ,0.973 ,0.899 ,0.899 ,0.914 ,0.967 
TGW_WenJ15,0.922 ,0.920 ,0.931 ,0.912 ,0.920 ,0.951 ,0.930 ,0.920 ,0.935 ,0.932 
TGW_YangZ15,0.833 ,0.843 ,0.843 ,0.843 ,0.838 ,0.900 ,0.843 ,0.844 ,0.844 ,0.882 
TNP_BLUP,0.804 ,0.822 ,0.828 ,0.847 ,0.867 ,0.875 ,0.831 ,0.850 ,0.858 ,0.852 
TNP_BeiJ15,0.851 ,0.867 ,0.869 ,0.886 ,0.881 ,0.917 ,0.871 ,0.887 ,0.871 ,0.888 
TNP_LingS15,0.463 ,0.620 ,0.548 ,0.722 ,0.766 ,0.696 ,0.548 ,0.723 ,0.777 ,0.728 
TNP_WenJ15,0.499 ,0.497 ,0.517 ,0.536 ,0.651 ,0.639 ,0.520 ,0.536 ,0.642 ,0.625 
